Driver,Team,Event,Year,LapTimeSeconds,TyreCompound,TyreAge,AirTemp,TrackTemp,TrackLength,RaceDistance,NumLaps,LapNumber,TopSpeed,AvgCornerSpeed,AvgCornerEntrySpeed,AvgCornerExitSpeed,AvgStraightSpeed,AvgStraightEntrySpeed,AvgStraightExitSpeed,ThrottleMean,ThrottleStdDev,BrakeMean,BrakeStdDev,DRSMean
VER,Red Bull Racing,Australian Grand Prix,2025,89.411,INTERMEDIATE,28.0,15.7,19.1,5.303,307.574,58,28.0,306.0,141.12765957446808,159.6,174.4,260.0802139037433,288.4,281.0,64.14634146341463,42.80683358839681,0.16463414634146342,0.3714166453692847,0.0
VER,Red Bull Racing,Australian Grand Prix,2025,89.043,INTERMEDIATE,29.0,15.7,19.1,5.303,307.574,58,29.0,306.0,142.44927536231884,158.0,175.4,259.74874371859295,291.0,281.4,66.16320474777449,42.56165079353071,0.18100890207715134,0.38559808589915046,0.0
VER,Red Bull Racing,Australian Grand Prix,2025,88.237,INTERMEDIATE,30.0,15.7,19.1,5.303,307.574,58,30.0,306.0,141.58461538461538,160.2,182.0,259.8894230769231,290.6,282.0,66.51775147928994,42.58140723148338,0.16863905325443787,0.3749879284486196,0.0
VER,Red Bull Racing,Australian Grand Prix,2025,88.127,INTERMEDIATE,31.0,15.8,19.1,5.303,307.574,58,31.0,303.0,144.5748031496063,172.2,180.6,259.23857868020303,290.8,282.8,66.23456790123457,42.48300234996582,0.1728395061728395,0.37869331986283267,0.0
VER,Red Bull Racing,Australian Grand Prix,2025,88.208,INTERMEDIATE,32.0,15.8,19.1,5.303,307.574,58,32.0,303.0,144.88235294117646,164.0,184.4,259.08133971291863,291.0,282.8,66.54782608695652,42.60375368566954,0.17681159420289855,0.3820632966615367,0.0
VER,Red Bull Racing,Australian Grand Prix,2025,85.317,MEDIUM,8.0,16.6,19.3,5.303,307.574,58,42.0,305.0,147.7685185185185,158.0,181.0,258.768115942029,294.0,287.6,66.91428571428571,43.422626323117406,0.20317460317460317,0.4030015781165281,1.0
VER,Red Bull Racing,Australian Grand Prix,2025,93.864,INTERMEDIATE,6.0,15.2,18.7,5.303,307.574,58,52.0,301.0,145.5,172.2,181.2,260.8314606741573,294.2,285.0,60.044444444444444,44.04939266459264,0.2388888888888889,0.4269981882877144,1.0
VER,Red Bull Racing,Australian Grand Prix,2025,90.859,INTERMEDIATE,7.0,15.4,18.7,5.303,307.574,58,53.0,300.0,142.006993006993,154.0,172.0,260.4708994708995,294.0,286.6,64.93072289156626,42.50684702714187,0.18674698795180722,0.39029652816834753,1.0
VER,Red Bull Racing,Australian Grand Prix,2025,89.1,INTERMEDIATE,8.0,15.8,18.7,5.303,307.574,58,54.0,302.0,143.63636363636363,168.2,173.4,260.8510638297872,293.6,286.6,64.2356495468278,42.720927358257775,0.20241691842900303,0.40240966035024855,0.5891238670694864
RUS,Mercedes,Australian Grand Prix,2025,97.824,INTERMEDIATE,8.0,15.9,19.1,5.303,307.574,58,8.0,306.0,140.87980769230768,170.8,169.2,257.54430379746833,283.4,276.4,58.93715846994535,42.492531322633106,0.22131147540983606,0.4156980282157648,1.0
